"package","feature","feature_label","classification","source_ids","evidence_note","verified_on"
"TraMineR","clustering","Sequence clustering","via_dependency","traminer-jss;traminer-manual","TraMineR supplies sequence objects and dissimilarities; clustering is commonly performed through base R, cluster, or WeightedCluster.","2026-08-06"
"TraMineR","cluster_stability","Cluster stability or typology validation","not_documented","traminer-jss;traminer-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"TraMineR","transition_networks","Transition-network construction and analysis","not_documented","traminer-jss;traminer-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"TraMineR","higher_order_markov","Higher-order or variable-memory Markov models","outside_scope","traminer-jss","Probabilistic hidden-state and higher-order Markov modeling is outside the core state-sequence scope described in the reviewed software paper.","2026-08-06"
"TraMineR","categorical_hmm","Categorical hidden Markov models","outside_scope","traminer-jss","Probabilistic hidden-state and higher-order Markov modeling is outside the core state-sequence scope described in the reviewed software paper.","2026-08-06"
"TraMineR","mixture_hmm","Mixture hidden Markov models","outside_scope","traminer-jss","Probabilistic hidden-state and higher-order Markov modeling is outside the core state-sequence scope described in the reviewed software paper.","2026-08-06"
"TraMineR","multichannel_hmm","Multichannel hidden Markov models","outside_scope","traminer-jss","Probabilistic hidden-state and higher-order Markov modeling is outside the core state-sequence scope described in the reviewed software paper.","2026-08-06"
"TraMineR","covariate_hmm","Covariate-dependent latent-state models","outside_scope","traminer-jss","Probabilistic hidden-state and higher-order Markov modeling is outside the core state-sequence scope described in the reviewed software paper.","2026-08-06"
"TraMineR","longitudinal_panel_workflow","Explicit longitudinal panel-comparison workflow","partial","traminer-jss;traminer-manual","Related functionality is documented, but it does not match the full neutral-input, bounded-output, declared-design, or common-diagnostic dimension used for gp3sequences.","2026-08-06"
"TraMineR","time_varying_models","Time-varying sequence models","not_documented","traminer-jss;traminer-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"TraMineR","design_aware_inference","Declared-design group inference or randomization","partial","traminer-jss;traminer-manual","Related functionality is documented, but it does not match the full neutral-input, bounded-output, declared-design, or common-diagnostic dimension used for gp3sequences.","2026-08-06"
"TraMineR","machine_readable_diagnostics","Machine-readable diagnostics and failure information","partial","traminer-jss;traminer-manual","Related functionality is documented, but it does not match the full neutral-input, bounded-output, declared-design, or common-diagnostic dimension used for gp3sequences.","2026-08-06"
"TraMineR","analysis_contracts","Declared analysis-capability contracts","not_documented","traminer-jss;traminer-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"TraMineR","provenance_comparison","Cross-analysis settings and provenance comparison","not_documented","traminer-jss;traminer-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"TraMineR","specialist_interoperability","Documented interoperability with specialist sequence software","native_specialist","traminer-jss;traminer-manual","The stslist representation is directly consumed by several specialist sequence-analysis packages.","2026-08-06"
"seqHMM","neutral_long_format_input","Neutral long-format input with explicit mappings","via_dependency","seqhmm-manual","Models consume TraMineR stslist objects or lists of stslist objects rather than neutral long-format data directly.","2026-08-06"
"seqHMM","explicit_preprocessing_policy","Explicit preprocessing and ordering policy","partial","seqhmm-jss;seqhmm-manual","Related model, plotting, covariate, longitudinal, and diagnostic functionality is documented but does not match the full comparison dimension.","2026-08-06"
"seqHMM","state_sequence_summaries","State-sequence summaries and descriptive views","partial","seqhmm-jss;seqhmm-manual","Related model, plotting, covariate, longitudinal, and diagnostic functionality is documented but does not match the full comparison dimension.","2026-08-06"
"seqHMM","motif_or_pattern_mining","Motif or sequential-pattern mining","outside_scope","seqhmm-jss","These dimensions are outside the package's latent-state modeling purpose.","2026-08-06"
"seqHMM","bounded_noncontiguous_subsequences","Bounded noncontiguous subsequence extraction","outside_scope","seqhmm-jss","These dimensions are outside the package's latent-state modeling purpose.","2026-08-06"
"seqHMM","sequence_distances","Pairwise sequence dissimilarities","outside_scope","seqhmm-jss","These dimensions are outside the package's latent-state modeling purpose.","2026-08-06"
"seqHMM","clustering","Sequence clustering","native_specialist","seqhmm-jss;seqhmm-manual","Categorical HMMs, mixture HMMs, multiple interdependent channels, and latent mixture clustering are central documented capabilities.","2026-08-06"
"seqHMM","cluster_stability","Cluster stability or typology validation","not_documented","seqhmm-jss;seqhmm-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"seqHMM","transition_networks","Transition-network construction and analysis","partial","seqhmm-jss;seqhmm-manual","Related model, plotting, covariate, longitudinal, and diagnostic functionality is documented but does not match the full comparison dimension.","2026-08-06"
"seqHMM","higher_order_markov","Higher-order or variable-memory Markov models","not_documented","seqhmm-jss;seqhmm-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"seqHMM","categorical_hmm","Categorical hidden Markov models","native_specialist","seqhmm-jss;seqhmm-manual","Categorical HMMs, mixture HMMs, multiple interdependent channels, and latent mixture clustering are central documented capabilities.","2026-08-06"
"seqHMM","mixture_hmm","Mixture hidden Markov models","native_specialist","seqhmm-jss;seqhmm-manual","Categorical HMMs, mixture HMMs, multiple interdependent channels, and latent mixture clustering are central documented capabilities.","2026-08-06"
"seqHMM","multichannel_hmm","Multichannel hidden Markov models","native_specialist","seqhmm-jss;seqhmm-manual","Categorical HMMs, mixture HMMs, multiple interdependent channels, and latent mixture clustering are central documented capabilities.","2026-08-06"
"seqHMM","covariate_hmm","Covariate-dependent latent-state models","native_specialist","seqhmm-manual","seqHMM 2.2.0 directly supports non-homogeneous HMMs with external covariates for initial, transition, and emission probabilities, as well as covariates for mixture membership.","2026-08-06"
"seqHMM","longitudinal_panel_workflow","Explicit longitudinal panel-comparison workflow","partial","seqhmm-jss;seqhmm-manual","Related model, plotting, covariate, longitudinal, and diagnostic functionality is documented but does not match the full comparison dimension.","2026-08-06"
"seqHMM","time_varying_models","Time-varying sequence models","partial","seqhmm-manual","Non-homogeneous HMMs allow covariate-dependent initial, transition, and emission probabilities; this overlaps with, but is not identical to, the general time-varying sequence-model dimension used for gp3sequences.","2026-08-06"
"seqHMM","design_aware_inference","Declared-design group inference or randomization","not_documented","seqhmm-jss;seqhmm-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"seqHMM","machine_readable_diagnostics","Machine-readable diagnostics and failure information","partial","seqhmm-jss;seqhmm-manual","Related model, plotting, covariate, longitudinal, and diagnostic functionality is documented but does not match the full comparison dimension.","2026-08-06"
"seqHMM","analysis_contracts","Declared analysis-capability contracts","not_documented","seqhmm-jss;seqhmm-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"seqHMM","provenance_comparison","Cross-analysis settings and provenance comparison","not_documented","seqhmm-jss;seqhmm-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"seqHMM","specialist_interoperability","Documented interoperability with specialist sequence software","via_dependency","seqhmm-manual","The modeling interface directly consumes TraMineR stslist objects.","2026-08-06"
"arulesSequences","neutral_long_format_input","Neutral long-format input with explicit mappings","partial","arulesseq-manual","Temporal identifiers, conversion controls, pattern support, and quality measures are structured, but the core input is an arules transactions object.","2026-08-06"
"arulesSequences","explicit_preprocessing_policy","Explicit preprocessing and ordering policy","partial","arulesseq-manual","Temporal identifiers, conversion controls, pattern support, and quality measures are structured, but the core input is an arules transactions object.","2026-08-06"
"arulesSequences","state_sequence_summaries","State-sequence summaries and descriptive views","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","motif_or_pattern_mining","Motif or sequential-pattern mining","native_specialist","arulesseq-manual","cspade() mines frequent sequential patterns using temporal joins, lattice search, and documented timing constraints.","2026-08-06"
"arulesSequences","bounded_noncontiguous_subsequences","Bounded noncontiguous subsequence extraction","native_specialist","arulesseq-manual","cspade() mines frequent sequential patterns using temporal joins, lattice search, and documented timing constraints.","2026-08-06"
"arulesSequences","sequence_distances","Pairwise sequence dissimilarities","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","clustering","Sequence clustering","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","cluster_stability","Cluster stability or typology validation","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","transition_networks","Transition-network construction and analysis","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","higher_order_markov","Higher-order or variable-memory Markov models","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","categorical_hmm","Categorical hidden Markov models","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","mixture_hmm","Mixture hidden Markov models","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","multichannel_hmm","Multichannel hidden Markov models","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","covariate_hmm","Covariate-dependent latent-state models","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","longitudinal_panel_workflow","Explicit longitudinal panel-comparison workflow","not_documented","arulesseq-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"arulesSequences","time_varying_models","Time-varying sequence models","outside_scope","arulesseq-manual","These dimensions are outside the package's frequent-pattern-mining purpose.","2026-08-06"
"arulesSequences","design_aware_inference","Declared-design group inference or randomization","not_documented","arulesseq-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"arulesSequences","machine_readable_diagnostics","Machine-readable diagnostics and failure information","partial","arulesseq-manual","Temporal identifiers, conversion controls, pattern support, and quality measures are structured, but the core input is an arules transactions object.","2026-08-06"
"arulesSequences","analysis_contracts","Declared analysis-capability contracts","not_documented","arulesseq-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"arulesSequences","provenance_comparison","Cross-analysis settings and provenance comparison","not_documented","arulesseq-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"arulesSequences","specialist_interoperability","Documented interoperability with specialist sequence software","native_specialist","arulesseq-manual","The package extends the arules transactions, sequences, and rule object system.","2026-08-06"
"WeightedCluster","neutral_long_format_input","Neutral long-format input with explicit mappings","via_dependency","weightedcluster-manual","Sequence workflows use TraMineR stslist objects and seqdist() or externally supplied dissimilarity matrices.","2026-08-06"
"WeightedCluster","explicit_preprocessing_policy","Explicit preprocessing and ordering policy","partial","weightedcluster-manual","Weights, aggregation, resampling, quality indices, and typology robustness are explicit, but do not match the full gp3sequences comparison dimension.","2026-08-06"
"WeightedCluster","state_sequence_summaries","State-sequence summaries and descriptive views","via_dependency","weightedcluster-manual","Sequence workflows use TraMineR stslist objects and seqdist() or externally supplied dissimilarity matrices.","2026-08-06"
"WeightedCluster","motif_or_pattern_mining","Motif or sequential-pattern mining","outside_scope","weightedcluster-manual","These dimensions are outside the package's clustering and validation purpose.","2026-08-06"
"WeightedCluster","bounded_noncontiguous_subsequences","Bounded noncontiguous subsequence extraction","outside_scope","weightedcluster-manual","These dimensions are outside the package's clustering and validation purpose.","2026-08-06"
"WeightedCluster","sequence_distances","Pairwise sequence dissimilarities","via_dependency","weightedcluster-manual","Sequence workflows use TraMineR stslist objects and seqdist() or externally supplied dissimilarity matrices.","2026-08-06"
"WeightedCluster","clustering","Sequence clustering","native_specialist","weightedcluster-manual","Weighted PAM, cluster-quality comparison, CLARA variants, resampling, and typology validation are directly documented.","2026-08-06"
"WeightedCluster","cluster_stability","Cluster stability or typology validation","native_specialist","weightedcluster-manual","Weighted PAM, cluster-quality comparison, CLARA variants, resampling, and typology validation are directly documented.","2026-08-06"
"WeightedCluster","transition_networks","Transition-network construction and analysis","outside_scope","weightedcluster-manual","These dimensions are outside the package's clustering and validation purpose.","2026-08-06"
"WeightedCluster","higher_order_markov","Higher-order or variable-memory Markov models","outside_scope","weightedcluster-manual","These dimensions are outside the package's clustering and validation purpose.","2026-08-06"
"WeightedCluster","categorical_hmm","Categorical hidden Markov models","outside_scope","weightedcluster-manual","These dimensions are outside the package's clustering and validation purpose.","2026-08-06"
"WeightedCluster","mixture_hmm","Mixture hidden Markov models","outside_scope","weightedcluster-manual","These dimensions are outside the package's clustering and validation purpose.","2026-08-06"
"WeightedCluster","multichannel_hmm","Multichannel hidden Markov models","outside_scope","weightedcluster-manual","These dimensions are outside the package's clustering and validation purpose.","2026-08-06"
"WeightedCluster","covariate_hmm","Covariate-dependent latent-state models","outside_scope","weightedcluster-manual","These dimensions are outside the package's clustering and validation purpose.","2026-08-06"
"WeightedCluster","longitudinal_panel_workflow","Explicit longitudinal panel-comparison workflow","partial","weightedcluster-manual","Weights, aggregation, resampling, quality indices, and typology robustness are explicit, but do not match the full gp3sequences comparison dimension.","2026-08-06"
"WeightedCluster","time_varying_models","Time-varying sequence models","outside_scope","weightedcluster-manual","These dimensions are outside the package's clustering and validation purpose.","2026-08-06"
"WeightedCluster","design_aware_inference","Declared-design group inference or randomization","partial","weightedcluster-manual","Weights, aggregation, resampling, quality indices, and typology robustness are explicit, but do not match the full gp3sequences comparison dimension.","2026-08-06"
"WeightedCluster","machine_readable_diagnostics","Machine-readable diagnostics and failure information","partial","weightedcluster-manual","Weights, aggregation, resampling, quality indices, and typology robustness are explicit, but do not match the full gp3sequences comparison dimension.","2026-08-06"
"WeightedCluster","analysis_contracts","Declared analysis-capability contracts","not_documented","weightedcluster-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"WeightedCluster","provenance_comparison","Cross-analysis settings and provenance comparison","not_documented","weightedcluster-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"WeightedCluster","specialist_interoperability","Documented interoperability with specialist sequence software","via_dependency","weightedcluster-manual","The package depends on TraMineR and cluster and consumes their core objects.","2026-08-06"
"ClickClust","neutral_long_format_input","Neutral long-format input with explicit mappings","partial","clickclust-jss;clickclust-manual","Package-specific sequence conversion, longitudinal Markov components, and fitted-model quantities are documented but do not match the full dimension.","2026-08-06"
"ClickClust","explicit_preprocessing_policy","Explicit preprocessing and ordering policy","partial","clickclust-jss;clickclust-manual","Package-specific sequence conversion, longitudinal Markov components, and fitted-model quantities are documented but do not match the full dimension.","2026-08-06"
"ClickClust","state_sequence_summaries","State-sequence summaries and descriptive views","outside_scope","clickclust-jss;clickclust-manual","These dimensions are outside the documented finite-mixture observed-state Markov clustering purpose.","2026-08-06"
"ClickClust","motif_or_pattern_mining","Motif or sequential-pattern mining","outside_scope","clickclust-jss;clickclust-manual","These dimensions are outside the documented finite-mixture observed-state Markov clustering purpose.","2026-08-06"
"ClickClust","bounded_noncontiguous_subsequences","Bounded noncontiguous subsequence extraction","outside_scope","clickclust-jss;clickclust-manual","These dimensions are outside the documented finite-mixture observed-state Markov clustering purpose.","2026-08-06"
"ClickClust","sequence_distances","Pairwise sequence dissimilarities","outside_scope","clickclust-jss;clickclust-manual","These dimensions are outside the documented finite-mixture observed-state Markov clustering purpose.","2026-08-06"
"ClickClust","clustering","Sequence clustering","native_specialist","clickclust-jss;clickclust-manual","Finite mixtures with Markov-model components provide direct model-based clustering of categorical sequences.","2026-08-06"
"ClickClust","cluster_stability","Cluster stability or typology validation","not_documented","clickclust-jss;clickclust-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"ClickClust","transition_networks","Transition-network construction and analysis","not_documented","clickclust-jss;clickclust-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"ClickClust","higher_order_markov","Higher-order or variable-memory Markov models","not_documented","clickclust-jss;clickclust-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"ClickClust","categorical_hmm","Categorical hidden Markov models","outside_scope","clickclust-jss;clickclust-manual","These dimensions are outside the documented finite-mixture observed-state Markov clustering purpose.","2026-08-06"
"ClickClust","mixture_hmm","Mixture hidden Markov models","outside_scope","clickclust-jss;clickclust-manual","These dimensions are outside the documented finite-mixture observed-state Markov clustering purpose.","2026-08-06"
"ClickClust","multichannel_hmm","Multichannel hidden Markov models","outside_scope","clickclust-jss;clickclust-manual","These dimensions are outside the documented finite-mixture observed-state Markov clustering purpose.","2026-08-06"
"ClickClust","covariate_hmm","Covariate-dependent latent-state models","outside_scope","clickclust-jss;clickclust-manual","These dimensions are outside the documented finite-mixture observed-state Markov clustering purpose.","2026-08-06"
"ClickClust","longitudinal_panel_workflow","Explicit longitudinal panel-comparison workflow","partial","clickclust-jss;clickclust-manual","Package-specific sequence conversion, longitudinal Markov components, and fitted-model quantities are documented but do not match the full dimension.","2026-08-06"
"ClickClust","time_varying_models","Time-varying sequence models","not_documented","clickclust-jss;clickclust-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"ClickClust","design_aware_inference","Declared-design group inference or randomization","not_documented","clickclust-jss;clickclust-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"ClickClust","machine_readable_diagnostics","Machine-readable diagnostics and failure information","partial","clickclust-jss;clickclust-manual","Package-specific sequence conversion, longitudinal Markov components, and fitted-model quantities are documented but do not match the full dimension.","2026-08-06"
"ClickClust","analysis_contracts","Declared analysis-capability contracts","not_documented","clickclust-jss;clickclust-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"ClickClust","provenance_comparison","Cross-analysis settings and provenance comparison","not_documented","clickclust-jss;clickclust-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"ClickClust","specialist_interoperability","Documented interoperability with specialist sequence software","not_documented","clickclust-jss;clickclust-manual","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"PST","neutral_long_format_input","Neutral long-format input with explicit mappings","via_dependency","pst-archive","PST directly consumes TraMineR stslist objects.","2026-08-06"
"PST","explicit_preprocessing_policy","Explicit preprocessing and ordering policy","partial","pst-jss;pst-archive","Context controls, prediction measures, segmented models, likelihoods, and longitudinal sequence handling are documented but only partially overlap.","2026-08-06"
"PST","state_sequence_summaries","State-sequence summaries and descriptive views","outside_scope","pst-jss;pst-archive","These dimensions are outside the probabilistic-suffix-tree modeling purpose.","2026-08-06"
"PST","motif_or_pattern_mining","Motif or sequential-pattern mining","partial","pst-jss;pst-archive","Context controls, prediction measures, segmented models, likelihoods, and longitudinal sequence handling are documented but only partially overlap.","2026-08-06"
"PST","bounded_noncontiguous_subsequences","Bounded noncontiguous subsequence extraction","outside_scope","pst-jss;pst-archive","These dimensions are outside the probabilistic-suffix-tree modeling purpose.","2026-08-06"
"PST","sequence_distances","Pairwise sequence dissimilarities","partial","pst-jss;pst-archive","Context controls, prediction measures, segmented models, likelihoods, and longitudinal sequence handling are documented but only partially overlap.","2026-08-06"
"PST","clustering","Sequence clustering","partial","pst-jss;pst-archive","Context controls, prediction measures, segmented models, likelihoods, and longitudinal sequence handling are documented but only partially overlap.","2026-08-06"
"PST","cluster_stability","Cluster stability or typology validation","not_documented","pst-jss;pst-archive","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"PST","transition_networks","Transition-network construction and analysis","not_documented","pst-jss;pst-archive","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"PST","higher_order_markov","Higher-order or variable-memory Markov models","native_specialist","pst-jss;pst-archive","Probabilistic suffix trees represent variable-length Markov chains and support fitting, pruning, tuning, prediction, and generation.","2026-08-06"
"PST","categorical_hmm","Categorical hidden Markov models","outside_scope","pst-jss;pst-archive","These dimensions are outside the probabilistic-suffix-tree modeling purpose.","2026-08-06"
"PST","mixture_hmm","Mixture hidden Markov models","outside_scope","pst-jss;pst-archive","These dimensions are outside the probabilistic-suffix-tree modeling purpose.","2026-08-06"
"PST","multichannel_hmm","Multichannel hidden Markov models","outside_scope","pst-jss;pst-archive","These dimensions are outside the probabilistic-suffix-tree modeling purpose.","2026-08-06"
"PST","covariate_hmm","Covariate-dependent latent-state models","outside_scope","pst-jss;pst-archive","These dimensions are outside the probabilistic-suffix-tree modeling purpose.","2026-08-06"
"PST","longitudinal_panel_workflow","Explicit longitudinal panel-comparison workflow","partial","pst-jss;pst-archive","Context controls, prediction measures, segmented models, likelihoods, and longitudinal sequence handling are documented but only partially overlap.","2026-08-06"
"PST","time_varying_models","Time-varying sequence models","not_documented","pst-jss;pst-archive","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"PST","design_aware_inference","Declared-design group inference or randomization","not_documented","pst-jss;pst-archive","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"PST","machine_readable_diagnostics","Machine-readable diagnostics and failure information","partial","pst-jss;pst-archive","Context controls, prediction measures, segmented models, likelihoods, and longitudinal sequence handling are documented but only partially overlap.","2026-08-06"
"PST","analysis_contracts","Declared analysis-capability contracts","not_documented","pst-jss;pst-archive","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"PST","provenance_comparison","Cross-analysis settings and provenance comparison","not_documented","pst-jss;pst-archive","The reviewed primary sources do not document this capability; this classification is not proof that the capability is absent.","2026-08-06"
"PST","specialist_interoperability","Documented interoperability with specialist sequence software","via_dependency","pst-archive","PST directly consumes TraMineR stslist objects.","2026-08-06"
"march","neutral_long_format_input","Neutral long-format input with explicit mappings","partial","march-manual","Dataset conversion, model-order controls, longitudinal structures, AIC/BIC, likelihoods, and model slots are documented but only partially overlap.","2026-08-06"
"march","explicit_preprocessing_policy","Explicit preprocessing and ordering policy","partial","march-manual","Dataset conversion, model-order controls, longitudinal structures, AIC/BIC, likelihoods, and model slots are documented but only partially overlap.","2026-08-06"
"march","state_sequence_summaries","State-sequence summaries and descriptive views","outside_scope","march-manual","These dimensions are outside the package's Markov-family modeling purpose.","2026-08-06"
"march","motif_or_pattern_mining","Motif or sequential-pattern mining","outside_scope","march-manual","These dimensions are outside the package's Markov-family modeling purpose.","2026-08-06"
"march","bounded_noncontiguous_subsequences","Bounded noncontiguous subsequence extraction","outside_scope","march-manual","These dimensions are outside the package's Markov-family modeling purpose.","2026-08-06"
"march","sequence_distances","Pairwise sequence dissimilarities","outside_scope","march-manual","These dimensions are outside the package's Markov-family modeling purpose.","2026-08-06"
